price,host_response_rate,host_listings_count,neighbourhood,property_type,room_type,bathrooms,accommodates,guests_included,minimum_nights,number_of_reviews,reviews_per_month,review_scores_rating,availability_30
161,100%,7,Copacabana,Apartment,Entire home/apt,1,4,2,2,56,1.05,92,21
140,100%,7,Copacabana,Apartment,Entire home/apt,1,3,2,3,115,1.71,95,29
116,100%,3,Copacabana,Apartment,Entire home/apt,1,3,2,3,164,2.21,96,24
799,86%,2,Barra da Tijuca,Apartment,Entire home/apt,2.5,4,1,2,26,0.37,100,30
150,100%,6,Copacabana,Apartment,Entire home/apt,1,4,4,2,184,2.52,96,17
240,100%,6,Copacabana,Apartment,Entire home/apt,1.5,6,6,2,185,2.52,97,16
386,100%,1,Ipanema,Apartment,Entire home/apt,1,2,2,5,20,0.28,93,24
250,100%,2,Ipanema,Apartment,Entire home/apt,2,3,3,3,99,1.34,98,6
171,100%,2,Copacabana,Apartment,Entire home/apt,1,4,4,4,101,1.68,92,5
250,100%,2,Ipanema,Apartment,Entire home/apt,2,4,4,3,159,2.16,98,11
758,100%,5,Copacabana,Apartment,Entire home/apt,2.5,4,1,3,29,0.41,93,11
229,100%,1,Copacabana,Apartment,Entire home/apt,1,6,4,7,10,0.14,87,29
301,100%,6,Copacabana,Apartment,Entire home/apt,1.5,5,5,2,68,0.96,87,29
171,100%,4,Copacabana,Apartment,Entire home/apt,1,6,5,1,130,1.8,86,30
96,N/A,1,Copacabana,Apartment,Entire home/apt,1,4,1,2,101,1.42,91,0
208,100%,5,Barra da Tijuca,House,Private room,1,2,1,1,8,0.12,95,30
188,100%,5,Ipanema,Apartment,Entire home/apt,2.5,6,7,3,11,0.15,90,25
400,N/A,1,Copacabana,Apartment,Entire home/apt,2,4,1,5,6,0.09,92,30
212,100%,5,Ipanema,Apartment,Entire home/apt,1,4,2,3,15,0.24,83,30
120,100%,3,Copacabana,Apartment,Entire home/apt,1,4,2,4,46,0.75,88,30
649,100%,2,Copacabana,Apartment,Entire home/apt,2,8,6,3,73,1.03,96,13
219,100%,8,Copacabana,Apartment,Entire home/apt,1,2,2,3,8,0.16,77,0
150,100%,4,Copacabana,Apartment,Entire home/apt,1,2,1,4,25,0.34,98,0
201,N/A,1,Copacabana,Apartment,Entire home/apt,1,4,2,3,70,0.96,93,27
89,100%,10,Barra da Tijuca,House,Shared room,3,16,1,2,20,0.28,91,30
171,100%,9,Copacabana,Apartment,Entire home/apt,1,3,2,3,66,0.93,89,29
99,100%,2,Copacabana,Apartment,Private room,1,3,1,1,13,0.26,97,30
799,100%,2,Ipanema,Apartment,Entire home/apt,2,6,1,3,18,0.26,88,29
342,N/A,1,Ipanema,Apartment,Private room,2,2,1,5,6,0.08,70,30
342,N/A,1,Ipanema,Apartment,Entire home/apt,2,5,1,2,12,0.17,93,30
68,100%,2,Copacabana,Apartment,Private room,1,1,1,1,33,0.53,90,30
168,N/A,2,Copacabana,Apartment,Entire home/apt,3,6,2,3,13,0.18,100,0
410,90%,55,Ipanema,Apartment,Entire home/apt,1,2,1,1,5,0.07,96,30
239,90%,55,Ipanema,Apartment,Entire home/apt,1,2,1,2,35,0.49,94,30
301,100%,3,Copacabana,Apartment,Entire home/apt,1,4,3,3,67,0.95,98,27
526,N/A,1,Ipanema,Apartment,Entire home/apt,1,4,2,7,6,0.08,100,0
171,100%,4,Copacabana,Apartment,Private room,0,2,1,8,11,0.15,98,30
75,60%,21,Barra da Tijuca,House,Private room,1.5,2,1,1,5,0.08,93,30
150,100%,2,Barra da Tijuca,Apartment,Entire home/apt,2,4,5,3,6,0.1,90,25
171,100%,2,Copacabana,Apartment,Entire home/apt,1,4,2,5,47,0.82,91,0
